artist_name,artist_URL,song_title,song_URL,song_lyrics,song_runtime,song_year
The Beatles,artist/The-Beatles/3644,Blackbird,/lyric/35984628/The+Beatles/Blackbird,"Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise  Black bird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free  Blackbird fly, blackbird fly Into the light of the dark black night.  Blackbird fly, blackbird fly Into the light of the dark black night.  Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise, You were only waiting for this moment to arise, You were only waiting for this moment to arise",0:02:24,2019
The Beatles,artist/The-Beatles/3644,My Bonnie,/lyric/36392416/The+Beatles/My+Bonnie,"My Bonnie lies over the ocean My Bonnie lies over the sea My Bonnie lies over the ocean Oh bring back my Bonnie to me  My Bonnie lies over the ocean My Bonnie lies over the sea Well, my Bonnie lies over the ocean Yeah, bring back my Bonnie to me  Yeah bring back, ah bring back Oh bring back my Bonnie to me to me (to me) (Ah bring) Oh bring back, ah bring back Oh bring back my Bonnie to me  Well, my Bonnie lies over the ocean My Bonnie lies over the sea Yeah my Bonnie lies over the ocean Oh, I said bring back my Bonnie to me  Yeah bring back, ah bring back  Oh bring back my Bonnie to me to me (to me) Oh bring back, ah bring back  Oh bring back my Bonnie to me",0:04:10,2019
The Beatles,artist/The-Beatles/3644,Let It Be,/lyric/36255422/The+Beatles/Let+It+Be,"When I find myself in times of trouble, Mother Mary comes to me Speaking words of wisdom, let it be And in my hour of darkness she is standing right in front of me Speaking words of wisdom, let it be  Let it be, let it be, let it be, let it be Whisper words of wisdom, let it be  And when the broken-hearted people living in the world agree There will be an answer, let it be For though they may be parted, there is still a chance that they will see There will be an answer, let it be  Let it be, let it be, let it be, let it be Yeah, there will be an answer, let it be Let it be, let it be, let it be, let it be Whisper words of wisdom, let it be  Let it be, let it be, let it be, yeah, let it be Whisper words of wisdom, let it be  And when the night is cloudy there is still a light that shines on me Shine until tomorrow, let it be I wake up to the sound of music, Mother Mary comes to me Speaking words of wisdom, let it be  Let it be, let it be, let it be, yeah, let it be There will be an answer, let it be Let it be, let it be, let it be, yeah, let it be There will be an answer, let it be Let it be, let it be, let it be, yeah, let it be Whisper words of wisdom, let it be",0:02:37,2019
The Beatles,artist/The-Beatles/3644,Send Me Some Lovin',/lyric/34804252/The+Beatles/Send+Me+Some+Lovin%27,"(Send me some loving) Mmm, send it, I pray How can I love you When you're so far away  Whoa, honey Send me your picture Oh, send it, my dear So I can hold it and Pretend you are near  Can you send me your kisses I still feel your touch And, oh, I need you so badly I want you so much  My days are so lonely Oh, my nights are so blue I'm here and I'm longing And I'm waiting for you  Now, I want you to (Send me some loving) Send me some of that loving, baby (Send it, I pray)  Send it, I, I, I pray (How can I love you) How in the world can I love you (When you're so far away) When you're so, so, so far away  (Send me your picture) Send me your picture, baby (Send it, my dear) Oh, send it, my dear  (So I can hold it) I want so badly to hold it (And pretend you are near) And I, I wanna pretend That you're near  (Send me some loving) Send your loving, baby (Send it, I pray) Oh, send it, I, I, I",0:02:47,2018
The Beatles,artist/The-Beatles/3644,While My Guitar Gently Weeps,/lyric/35089600/The+Beatles/While+My+Guitar+Gently+Weeps,I look at you all see the love there that's sleeping While my guitar gently weeps I look at the floor and I see it needs sweeping Still my guitar gently weeps.  I don't know why nobody told you How to unfold your love I don't know how someone controlled you They bought and sold you.  I look at the world and I notice it's turning While my guitar gently weeps With every mistake we must surely be learning Still my guitar gently weeps.  I don't know how you were diverted You were perverted too I don't know how you were inverted No one alerted you.  I look at you all see the love there that's sleeping While my guitar gently weeps Look at you all Still my guitar gently weeps.,0:04:44,2018
The Beatles,artist/The-Beatles/3644,Glass Onion,/lyric/35693167/The+Beatles/Glass+Onion,"I told you about strawberry fields You know the place where nothing is real Well here's another place you can go Where everything flows.  Looking through the bent-backed tulips To see how the other half live Looking through a glass onion.  I told you about the walrus and me, man You know we're as close as can be, man Well here's another clue for you all The walrus was Paul.  Standing on the cast iron shore, yeah Lady Madonna trying to make ends meet, yeah Looking through the glass onion  Oh yeah, oh yeah, oh yeah Looking through the glass onion.  I told you about the fool on the hill I tell you man he's living there still Well here's another place you can be Listen to me.  Fixing a hole in the ocean Trying to make a dove-tail joint, yeah Looking through a glass onion.",0:01:55,2018
The Beatles,artist/The-Beatles/3644,I Saw Her Standing There,/lyric/34226668/The+Beatles/I+Saw+Her+Standing+There,"Well she was just seventeen You know what I mean And the way she looked Was way beyond compare So how could I dance with another, Oh, when I saw her standing there  Well she looked at me And I, I could see That before too long I'd fall in love with her She wouldn't dance with another Oh, when I saw her standing there  Well my heart went boom When I crossed that room And I held her hand in mine  Oh we danced through the night And we held each other tight And before too long I fell in love with her Now I'll never dance with another Oh, when I saw her standing there  Well my heart went boom When I crossed that room And I held her hand in mine  Oh we danced through the night And we held each other tight And before too long I fell in love with her Now I'll never dance with another Oh, when I saw her standing there Oh, since I saw her standing there Yeah, well since I saw her standing there",0:00:00,
The Beatles,artist/The-Beatles/3644,Introduction,/lyric/34441490/The+Beatles/Introduction,"Wilson, Wilson
Wilson, Wilson
Wilson

Once upon a time there was a mountain
That rose out of a vast green forest
And in the forest there were birds
And lakes and rocks and trees and rivers

The forest was also inhabited
By a small group of people called the lizards
The lizards were a simple people
And they had lived in the forest undisturbed
For thousands of years in utter peace and tranquility

Once a year when spring came
And the first blossoms began to show
The lizards would gather at the base of the mountain
To give thanks for all that they had

They thanked the birds
And they thanked the lakes and they thanked the rocks
And the trees and the rivers
But most importantly, they thanked Icculus

Icculus lived at the top of the mountain
Or at least everyone thought so
For no one had actually ever seen him

But they knew he existed
Because they had the Helping Friendly Book
Icculus had given the Helping Friendly Book
To the Lizards thousands of years earlier as a gift

It contained all of the knowledge
Inherent in the universe
And had enabled the Lizards
To exist in harmony with nature for years

And so they lived
Until one day a traveler arrived in Gamehendge
His name was Wilson
And he quickly became intrigued
By the Lizards way of life

He asked if he could stay on
And live in the forest
And the Lizards, who had never seen an outsider
Were happy to oblige

Wilson lived with the Lizards for a few years
Studying the ways of the Helping Friendly Book
And all was well

Until one morning when they awoke and the book was gone
Wilson explained that he had hidden the book
Knowing that the Lizards had become
Dependent on it for survival

He declared himself king
And enslaved the innocent people of Gamehendge
He cut down the trees and built a city
Which he called Prussia

And in the center of the city
He built a castle
And locked in the highest tower of the castle

",0:00:00,
The Beatles,artist/The-Beatles/3644,"Here, There and Everywhere",/lyric/33861225/The+Beatles/Here%2C+There+and+Everywhere,Not found,0:04:57,2017
The Beatles,artist/The-Beatles/3644,Love Me Do,/lyric/33918493/The+Beatles/Love+Me+Do,"Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do  Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do  Someone to love Somebody new Someone to love Someone like you  Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do  Love, love me do You know I love you I'll always be true So please, love me do Whoa, love me do Yeah, love me do Whoa, oh, love me do",0:00:00,
